glycan,glycan_type,tissue_sample,disease_association,n_tissue_labels
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,O,C10_cell_line; T84_cell_line; actinopterygian_pyloric_caecum; brain; colon; colo,"['colorectal_cancer', 'colorectal_cancer', 'colorectal_cancer', 'liver_cancer', ",47
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,A9_fibroblast_cell_line; Cervicovaginal_Secretion; HL_60_cell_line; K562_cell_li,"['Parkinson_disease', 'chronic_low_back_pain', 'lung_non_small_cell_carcinoma', ",46
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,A9_fibroblast_cell_line; B_cell; CHOK1_cell_line; CRL_1620_cell_line; HEK293_cel,"['diabetic_kidney_disease', 'esophagus_adenocarcinoma', 'filarial_elephantiasis'",44
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,2A3_cell_line; CHOS_cell_line; Cal-27_cell_line; FaDu_cell_line; NS0_cell_line; ,[],43
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,2A3_cell_line; C10_cell_line; COLO_205_cell_line; COLO_320_cell_line; Caco_2_cel,['urinary_bladder_cancer'],43
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,lipid,HCT116_cell_line; HEL_cell_line; ML_1_cell_line; MOLM_13_cell_line; MV4_11_cell_,"['cataract', 'lung_small_cell_carcinoma', 'melanoma']",43
Neu5Ac(a2-3)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,O,A549_cell_line; AML_193_cell_line; CaCo_2_cell_line; EOL_1_cell_line; HEK293_cel,"['colorectal_cancer', 'colorectal_cancer', 'colorectal_cancer', 'colorectal_canc",43
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,2A3_cell_line; AML_193_cell_line; C10_cell_line; COLO_320_cell_line; Cal-27_cell,[],43
Neu5Gc(a2-3)Gal(b1-4)Glc1Cer,lipid,adipose_tissue; adipose_tissue; adrenal_gland; adrenal_gland; adrenal_gland; adr,[],42
Man(a1-2/3/6)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,MDA_MB_231BR_cell_line; brain; cerebellar_cortex; cerebellar_cortex; cerebellar_,[],42
Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,2A3_cell_line; AML_193_cell_line; C10_cell_line; CHOK1_cell_line; FaDu_cell_line,"['colorectal_cancer', 'colorectal_cancer', 'urinary_bladder_cancer']",42
GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,CRL_1620_cell_line; Cervicovaginal_Secretion; K562_cell_line; MDA_MB_231BR_cell_,"['esophagus_adenocarcinoma', 'lung_non_small_cell_carcinoma', 'prostate_cancer',",39
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Caco_2_cell_line; Cervicovaginal_Secretion; HL_60_cell_line; K562_cell_line; THP,['diabetic_kidney_disease'],39
